tm,DVm,PVm
1.000000000000000000e+02,1.000000000000000000e+00,1.377750000000000641e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.434000000000001107e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01
1.050000000000000000e+02,1.000000000000000000e+00,1.442249999999999643e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.474249999999999727e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.498499999999999832e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.522750000000000214e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.522750000000000214e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.522750000000000214e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.538750000000000395e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.603250000000001063e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.635500000000000287e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.659750000000000669e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.683749999999999969e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.683749999999999969e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.683749999999999969e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.692000000000000171e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.748250000000000637e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.764499999999999957e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.772500000000000742e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.780499999999999861e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.788500000000000922e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.828750000000001208e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01
1.350000000000000000e+02,1.000000000000000000e+00,1.845000000000000528e-01
1.360000000000000000e+02,1.000000000000000000e+00,1.869250000000000911e-01
1.370000000000000000e+02,1.000000000000000000e+00,1.901250000000000995e-01
1.380000000000000000e+02,1.000000000000000000e+00,1.925499999999999434e-01
1.390000000000000000e+02,1.000000000000000000e+00,1.925499999999999434e-01
1.400000000000000000e+02,1.000000000000000000e+00,1.941750000000000698e-01
1.410000000000000000e+02,1.000000000000000000e+00,1.949749999999999817e-01
1.420000000000000000e+02,1.000000000000000000e+00,1.949749999999999817e-01
1.430000000000000000e+02,1.000000000000000000e+00,1.974000000000000199e-01
1.440000000000000000e+02,1.000000000000000000e+00,1.974000000000000199e-01
1.450000000000000000e+02,1.000000000000000000e+00,1.957750000000000878e-01
1.460000000000000000e+02,1.000000000000000000e+00,1.965749999999999997e-01
1.470000000000000000e+02,1.000000000000000000e+00,1.990000000000000102e-01
1.480000000000000000e+02,1.000000000000000000e+00,1.998000000000001164e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.006000000000000283e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.006000000000000283e-01
1.510000000000000000e+02,1.000000000000000000e+00,2.006000000000000283e-01
1.520000000000000000e+02,1.000000000000000000e+00,2.006000000000000283e-01
1.530000000000000000e+02,1.000000000000000000e+00,2.006000000000000283e-01
1.540000000000000000e+02,1.000000000000000000e+00,2.022249999999999603e-01
1.550000000000000000e+02,1.000000000000000000e+00,2.030250000000000665e-01
1.560000000000000000e+02,1.000000000000000000e+00,2.038249999999999784e-01
1.570000000000000000e+02,1.000000000000000000e+00,2.046499999999999986e-01
1.580000000000000000e+02,1.000000000000000000e+00,2.086750000000000271e-01
1.590000000000000000e+02,1.000000000000000000e+00,2.086750000000000271e-01
1.600000000000000000e+02,1.000000000000000000e+00,2.094750000000001333e-01
1.610000000000000000e+02,1.000000000000000000e+00,2.094750000000001333e-01
1.620000000000000000e+02,1.000000000000000000e+00,2.134999999999999676e-01
1.630000000000000000e+02,1.000000000000000000e+00,2.151250000000000939e-01
1.640000000000000000e+02,1.000000000000000000e+00,2.159250000000000058e-01
1.650000000000000000e+02,1.000000000000000000e+00,2.167250000000001120e-01
1.660000000000000000e+02,1.000000000000000000e+00,2.167250000000001120e-01
1.670000000000000000e+02,1.000000000000000000e+00,2.167250000000001120e-01
1.680000000000000000e+02,1.000000000000000000e+00,2.167250000000001120e-01
1.690000000000000000e+02,1.000000000000000000e+00,2.167250000000001120e-01
1.700000000000000000e+02,1.000000000000000000e+00,2.167250000000001120e-01
1.710000000000000000e+02,1.000000000000000000e+00,2.199500000000000344e-01
1.720000000000000000e+02,1.000000000000000000e+00,2.231749999999999845e-01
1.730000000000000000e+02,1.000000000000000000e+00,2.239750000000000907e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.247750000000000026e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.255750000000000810e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.255750000000000810e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.272000000000000131e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.320249999999999813e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.328250000000000597e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.328250000000000597e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.328250000000000597e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.328250000000000597e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.336500000000000798e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.368750000000000300e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.376750000000001362e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.409000000000000585e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.409000000000000585e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.409000000000000585e-01
1.940000000000000000e+02,1.000000000000000000e+00,2.409000000000000585e-01
1.950000000000000000e+02,1.000000000000000000e+00,2.409000000000000585e-01
1.960000000000000000e+02,1.000000000000000000e+00,2.409000000000000585e-01
1.970000000000000000e+02,1.000000000000000000e+00,2.432999999999999885e-01
1.980000000000000000e+02,1.000000000000000000e+00,2.441250000000000087e-01
1.990000000000000000e+02,1.000000000000000000e+00,2.441250000000000087e-01
2.000000000000000000e+02,1.000000000000000000e+00,2.441250000000000087e-01
2.010000000000000000e+02,1.000000000000000000e+00,2.449250000000001148e-01
2.020000000000000000e+02,1.000000000000000000e+00,2.465250000000001052e-01
2.030000000000000000e+02,1.000000000000000000e+00,2.481500000000000372e-01
2.040000000000000000e+02,1.000000000000000000e+00,2.481500000000000372e-01
2.050000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01
2.060000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01
2.070000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01
2.080000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01
2.090000000000000000e+02,1.000000000000000000e+00,2.497500000000000553e-01
2.100000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01
2.110000000000000000e+02,1.000000000000000000e+00,2.489499999999999491e-01
2.120000000000000000e+02,1.000000000000000000e+00,2.529750000000000054e-01
2.130000000000000000e+02,1.000000000000000000e+00,2.537750000000000838e-01
2.140000000000000000e+02,1.000000000000000000e+00,2.562000000000000943e-01
2.150000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.160000000000000000e+02,1.000000000000000000e+00,2.546000000000001040e-01
2.170000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.180000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.190000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01
2.200000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01
2.210000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01
2.220000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01
2.230000000000000000e+02,1.000000000000000000e+00,2.505499999999999394e-01
2.240000000000000000e+02,1.000000000000000000e+00,2.513750000000000151e-01
2.250000000000000000e+02,1.000000000000000000e+00,2.505499999999999394e-01
2.260000000000000000e+02,1.000000000000000000e+00,2.513750000000000151e-01
2.270000000000000000e+02,1.000000000000000000e+00,2.546000000000001040e-01
2.280000000000000000e+02,1.000000000000000000e+00,2.497500000000000553e-01
2.290000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.300000000000000000e+02,1.000000000000000000e+00,2.554000000000000159e-01
2.310000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.320000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.330000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.340000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.350000000000000000e+02,1.000000000000000000e+00,2.570000000000000062e-01
2.360000000000000000e+02,1.000000000000000000e+00,2.586249999999999938e-01
2.370000000000000000e+02,1.000000000000000000e+00,2.578250000000000819e-01
2.380000000000000000e+02,1.000000000000000000e+00,2.586249999999999938e-01
