t,DV,PV_Exp,PV_DV_FOPDTOPT,PV_DV_SOPDTOPT
3.100000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02,3.796473956864770960e-02,3.788976361646040347e-02
3.200000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02,3.984898027507594032e-02,3.973840990657362404e-02
3.300000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02,4.172228915073139532e-02,4.158210347835939596e-02
3.400000000000000000e+01,1.000000000000000000e+00,3.947500000000001702e-02,4.358472961899922948e-02,4.342005792110756324e-02
3.500000000000000000e+01,1.000000000000000000e+00,4.190000000000004832e-02,4.543636473530007769e-02,4.525160581102681545e-02
3.600000000000000000e+01,1.000000000000000000e+00,4.752500000000008107e-02,4.727725718922490272e-02,4.707618196275965838e-02
3.700000000000000000e+01,1.000000000000000000e+00,4.752500000000008107e-02,4.910746930665740861e-02,4.889330903162344283e-02
3.800000000000000000e+01,1.000000000000000000e+00,4.752500000000008107e-02,5.092706305188417215e-02,5.070258513668157024e-02
3.900000000000000000e+01,1.000000000000000000e+00,4.995000000000011930e-02,5.273610002969254806e-02,5.250367322104586287e-02
4.000000000000000000e+01,1.000000000000000000e+00,5.157500000000005830e-02,5.453464148745637563e-02,5.429629190561038182e-02
4.100000000000000000e+01,1.000000000000000000e+00,5.477500000000005281e-02,5.632274831720955610e-02,5.608020762663115666e-02
4.200000000000000000e+01,1.000000000000000000e+00,5.560000000000008685e-02,5.810048105770768134e-02,5.785522787697908870e-02
4.300000000000000000e+01,1.000000000000000000e+00,6.285000000000007248e-02,5.986789989647761656e-02,5.962119539617790481e-02
4.400000000000000000e+01,1.000000000000000000e+00,6.364999999999998437e-02,6.162506467185525916e-02,6.137798317607591481e-02
4.500000000000000000e+01,1.000000000000000000e+00,6.364999999999998437e-02,6.337203487501144594e-02,6.312549016768627397e-02
4.600000000000000000e+01,1.000000000000000000e+00,6.445000000000007667e-02,6.510886965196606424e-02,6.486363759079404046e-02
4.700000000000000000e+01,1.000000000000000000e+00,6.687500000000010103e-02,6.683562780559057503e-02,6.659236576173802047e-02
4.800000000000000000e+01,1.000000000000000000e+00,7.010000000000005116e-02,6.855236779759882326e-02,6.831163136664654412e-02
4.900000000000000000e+01,1.000000000000000000e+00,7.170000000000005536e-02,7.025914775052635730e-02,7.002140511761195674e-02
5.000000000000000000e+01,1.000000000000000000e+00,7.170000000000005536e-02,7.195602544969825765e-02,7.172166973806166912e-02
5.100000000000000000e+01,1.000000000000000000e+00,7.170000000000005536e-02,7.364305834518548866e-02,7.341241823112569509e-02
5.200000000000000000e+01,1.000000000000000000e+00,7.412500000000007971e-02,7.532030355374999542e-02,7.509365239128425185e-02
5.300000000000000000e+01,1.000000000000000000e+00,7.735000000000002984e-02,7.698781786077844858e-02,7.676538152515263724e-02
5.400000000000000000e+01,1.000000000000000000e+00,7.975000000000012634e-02,7.864565772220480366e-02,7.842762135205200158e-02
5.500000000000000000e+01,1.000000000000000000e+00,8.057499999999997997e-02,8.029387926642166107e-02,8.008039305913415562e-02
5.600000000000000000e+01,1.000000000000000000e+00,8.297500000000006259e-02,8.193253829618059314e-02,8.172372248936873862e-02
5.700000000000000000e+01,1.000000000000000000e+00,8.782499999999997253e-02,8.356169029048143848e-02,8.335763944374620371e-02
5.800000000000000000e+01,1.000000000000000000e+00,8.782499999999997253e-02,8.518139040645056337e-02,8.498217708166601325e-02
5.900000000000000000e+01,1.000000000000000000e+00,8.782499999999997253e-02,8.679169348120834016e-02,8.659737140572970615e-02
6.000000000000000000e+01,1.000000000000000000e+00,9.105000000000007532e-02,8.839265403372567609e-02,8.820326081909217464e-02
6.100000000000000000e+01,1.000000000000000000e+00,9.507500000000008999e-02,8.998432626666988399e-02,8.979988574518704691e-02
6.200000000000000000e+01,1.000000000000000000e+00,9.587500000000000189e-02,9.156676406823974212e-02,9.138728830107123446e-02
6.300000000000000000e+01,1.000000000000000000e+00,9.587500000000000189e-02,9.314002101398996536e-02,9.296551201686252541e-02
6.400000000000000000e+01,1.000000000000000000e+00,9.667500000000009419e-02,9.470415036864508751e-02,9.453460159480008007e-02
6.500000000000000000e+01,1.000000000000000000e+00,9.587500000000000189e-02,9.625920508790278274e-02,9.609460270236595825e-02
6.600000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01,9.780523782022679247e-02,9.764556179468604491e-02
6.700000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01,9.934230090862936069e-02,9.918752596210007877e-02
6.800000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01,1.008704463924434275e-01,1.007205427993671243e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.039250000000000868e-01,1.023897260090844419e-01,1.022446602934688337e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.063500000000001250e-01,1.039001911958020580e-01,1.037599267273991571e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.087749999999999828e-01,1.054018930914215474e-01,1.052663905976955333e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.111750000000000654e-01,1.068948825380752199e-01,1.067641005437818258e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.120000000000000856e-01,1.083792100829237409e-01,1.082531052874638883e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.120000000000000856e-01,1.098549259798674571e-01,1.097334535811516631e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.120000000000000856e-01,1.113220801912478408e-01,1.112051941635817942e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.144000000000000017e-01,1.127807223895389982e-01,1.126683757219866661e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.160249999999999615e-01,1.142309019590294072e-01,1.141230468598040115e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.176249999999999657e-01,1.156726679974939137e-01,1.155692560691481130e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.192500000000000782e-01,1.171060693178559847e-01,1.170070517073729804e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.200500000000000039e-01,1.185311544498403036e-01,1.184364819771520499e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.200500000000000039e-01,1.199479716416158720e-01,1.198575949095793958e-01
