omega,gain_DV_FOPDTOPT,gain_DV_SOPDTOPT,phase_DV_FOPDTOPT,phase_DV_SOPDTOPT
1.188522754373294452e-04,-8.809947226300335998e+00,-8.814305026723452841e+00,-1.245067964065795563e+00,-1.241490233087219508e+00
1.189892016747507608e-04,-8.809951377859592370e+00,-8.814309155268468032e+00,-1.246501998291421609e+00,-1.242920149299223898e+00
1.191262856608936731e-04,-8.809955538986155688e+00,-8.814313293327787235e+00,-1.247937683338448789e+00,-1.244351711601479060e+00
1.192635275774956333e-04,-8.809959709702066988e+00,-8.814317440923327140e+00,-1.249375021104285333e+00,-1.245784921885986440e+00
1.194009276065039534e-04,-8.809963890029417044e+00,-8.814321598077055953e+00,-1.250814013488513954e+00,-1.247219782046918857e+00
1.195384859300750881e-04,-8.809968079990337486e+00,-8.814325764810991615e+00,-1.252254662392886742e+00,-1.248656293980609844e+00
1.196762027305758137e-04,-8.809972279607032775e+00,-8.814329941147198255e+00,-1.253696969721334931e+00,-1.250094459585567641e+00
1.198140781905825369e-04,-8.809976488901739344e+00,-8.814334127107802175e+00,-1.255140937379964017e+00,-1.251534280762467644e+00
1.199521124928823793e-04,-8.809980707896745145e+00,-8.814338322714966978e+00,-1.256586567277061972e+00,-1.252975759414162837e+00
1.200903058204730143e-04,-8.809984936614402073e+00,-8.814342527990916665e+00,-1.258033861323101688e+00,-1.254418897445682690e+00
1.202286583565625999e-04,-8.809989175077104662e+00,-8.814346742957926750e+00,-1.259482821430735644e+00,-1.255863696764232706e+00
1.203671702845708353e-04,-8.809993423307298954e+00,-8.814350967638315382e+00,-1.260933449514810123e+00,-1.257310159279205752e+00
1.205058417881282699e-04,-8.809997681327487840e+00,-8.814355202054459326e+00,-1.262385747492356325e+00,-1.258758286902170953e+00
1.206446730510774825e-04,-8.810001949160218615e+00,-8.814359446228788642e+00,-1.263839717282603248e+00,-1.260208081546892789e+00
