omega,gain_FOPDTOPT,gain_SOPDTOPT,gain_SOPDTVDG,gain_FOPDTStrejc,gain_FOPDTBR,gain_FOPDTBR2,phase_FOPDTOPT,phase_SOPDTOPT,phase_SOPDTVDG,phase_FOPDTStrejc,phase_FOPDTBR,phase_FOPDTBR2
1.031576286399665273e-04,-9.916603845995579647e+00,-9.886730096856187089e+00,-1.105762176785464490e+01,-1.105719618863605547e+01,-1.105815913154445340e+01,-1.105734402789879667e+01,-1.003433344393641624e+00,-9.964506611139044567e-01,-5.774448132935322553e-01,-7.468681256584555062e-01,-1.111072210120316095e+00,-8.173977764615200092e-01
1.032764735329145183e-04,-9.916606209124719129e+00,-9.886732502825619662e+00,-1.105762357153419906e+01,-1.105719701124610665e+01,-1.105816217374303356e+01,-1.105734519129685722e+01,-1.004589210813050082e+00,-9.975984809272989695e-01,-5.781100080351252446e-01,-7.477285474133704701e-01,-1.112352010494219501e+00,-8.183394213667521955e-01
1.033954553435948966e-04,-9.916608577700689153e+00,-9.886734914340628677e+00,-1.105762537937158640e+01,-1.105719783575258397e+01,-1.105816522295316950e+01,-1.105734635737677962e+01,-1.005746408319423413e+00,-9.987476225502702754e-01,-5.787759689116769302e-01,-7.485899603547577774e-01,-1.113633284481059915e+00,-8.192821509225604037e-01
1.035145742297463660e-04,-9.916610951736039681e+00,-9.886737331413993246e+00,-1.105762719137639039e+01,-1.105719866215985725e+01,-1.105816827919101364e+01,-1.105734752614475269e+01,-1.006904938444352249e+00,-9.998980875036975746e-01,-5.794426968050789828e-01,-7.494523656242551013e-01,-1.114916033775746662e+00,-8.202259663778761478e-01
1.036338303492896813e-04,-9.916613331243352647e+00,-9.886739754058522678e+00,-1.105762900755822109e+01,-1.105719949047231054e+01,-1.105817134247276279e+01,-1.105734869760696348e+01,-1.008064802721189590e+00,-1.001049877310207448e+00,-5.801101925982381502e-01,-7.503157643648160624e-01,-1.116200260075137063e+00,-8.211708689830705676e-01
1.037532238603275267e-04,-9.916615716235238409e+00,-9.886742182287056480e+00,-1.105763082792669749e+01,-1.105720032069433145e+01,-1.105817441281464397e+01,-1.105734987176963102e+01,-1.009226002685047474e+00,-1.002202993494174743e+00,-5.807784571750758129e-01,-7.511801577207110059e-01,-1.117485965078033328e+00,-8.221168599899523199e-01
1.038727549211444204e-04,-9.916618106724333970e+00,-9.886744616112455475e+00,-1.105763265249147409e+01,-1.105720115283031824e+01,-1.105817749023292507e+01,-1.105735104863897789e+01,-1.010388539872796976e+00,-1.003357437581720468e+00,-5.814474914205275402e-01,-7.520455468375248920e-01,-1.118773150485181223e+00,-8.230639406517676893e-01
1.039924236902076637e-04,-9.916620502723306529e+00,-9.886747055547626672e+00,-1.105763448126221959e+01,-1.105720198688469580e+01,-1.105818057474390947e+01,-1.105735222822123553e+01,-1.011552415823077533e+00,-1.004513211100721337e+00,-5.821172962205474199e-01,-7.529119328621644014e-01,-1.120061817999280729e+00,-8.240121122232079154e-01
1.041122303261667037e-04,-9.916622904244857040e+00,-9.886749500605491292e+00,-1.105763631424863291e+01,-1.105720282286187839e+01,-1.105818366636393790e+01,-1.105735341052266563e+01,-1.012717632076290064e+00,-1.005670315580802887e+00,-5.827878724621060602e-01,-7.537793169428537166e-01,-1.121351969324980269e+00,-8.249613759604040863e-01
1.042321749878541637e-04,-9.916625311301705992e+00,-9.886751951299006080e+00,-1.105763815146043072e+01,-1.105720366076629801e+01,-1.105818676510939724e+01,-1.105735459554952982e+01,-1.013884190174607625e+00,-1.006828752553350803e+00,-5.834592210331952522e-01,-7.546477002291421821e-01,-1.122643606168885144e+00,-8.259117331209353541e-01
1.043522578342852600e-04,-9.916627723906611180e+00,-9.886754407641159759e+00,-1.105763999290735100e+01,-1.105720450060239735e+01,-1.105818987099669570e+01,-1.105735578330811464e+01,-1.015052091661968747e+00,-1.007988523551503368e+00,-5.841313428228250837e-01,-7.555170838718988646e-01,-1.123936730239553317e+00,-8.268631849638246045e-01
1.044724790246586967e-04,-9.916630142072353493e+00,-9.886756869644967693e+00,-1.105764183859914951e+01,-1.105720534237463326e+01,-1.105819298404228768e+01,-1.105735697380470661e+01,-1.016221338084087655e+00,-1.009149630110162121e+00,-5.848042387210282689e-01,-7.563874690233203246e-01,-1.125231343247504734e+00,-8.278157327495438977e-01
1.045928387183566111e-04,-9.916632565811756450e+00,-9.886759337323470120e+00,-1.105764368854561575e+01,-1.105720618608746619e+01,-1.105819610426267730e+01,-1.105735816704562957e+01,-1.017391930988452708e+00,-1.010312073765989194e+00,-5.854779096188611476e-01,-7.572588568369296169e-01,-1.126527446905219998e+00,-8.287693777400169104e-01
1.047133370749444117e-04,-9.916634995137654229e+00,-9.886761810689757013e+00,-1.105764554275656053e+01,-1.105720703174537256e+01,-1.105819923167438290e+01,-1.105735936303720379e+01,-1.018563871924323072e+00,-1.011475856057408862e+00,-5.861523564084015758e-01,-7.581312484675755137e-01,-1.127825042927138588e+00,-8.297241211986146059e-01
