t,MV,PV,DV
6.900000000000000000e+01,5.000000000000000000e+01,4.220000000000000284e+01,7.000000000000000000e+01
7.000000000000000000e+01,5.000000000000000000e+01,4.216799999999999926e+01,7.000000000000000000e+01
7.100000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,7.000000000000000000e+01
7.200000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,7.000000000000000000e+01
7.300000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,7.000000000000000000e+01
7.400000000000000000e+01,5.000000000000000000e+01,4.249000000000000199e+01,7.000000000000000000e+01
7.500000000000000000e+01,5.000000000000000000e+01,4.258700000000000330e+01,7.000000000000000000e+01
7.600000000000000000e+01,5.000000000000000000e+01,4.268399999999999750e+01,7.000000000000000000e+01
7.700000000000000000e+01,5.000000000000000000e+01,4.278000000000000114e+01,7.000000000000000000e+01
7.800000000000000000e+01,5.000000000000000000e+01,4.281300000000000239e+01,7.000000000000000000e+01
7.900000000000000000e+01,5.000000000000000000e+01,4.281300000000000239e+01,7.000000000000000000e+01
8.000000000000000000e+01,5.000000000000000000e+01,4.281300000000000239e+01,7.000000000000000000e+01
8.100000000000000000e+01,5.000000000000000000e+01,4.290899999999999892e+01,7.000000000000000000e+01
8.200000000000000000e+01,5.000000000000000000e+01,4.297399999999999665e+01,7.000000000000000000e+01
8.300000000000000000e+01,5.000000000000000000e+01,4.303799999999999670e+01,7.000000000000000000e+01
8.400000000000000000e+01,5.000000000000000000e+01,4.310300000000000153e+01,7.000000000000000000e+01
8.500000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,7.000000000000000000e+01
8.600000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,7.000000000000000000e+01
8.700000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,7.000000000000000000e+01
8.800000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,7.000000000000000000e+01
8.900000000000000000e+01,5.000000000000000000e+01,4.313499999999999801e+01,7.000000000000000000e+01
9.000000000000000000e+01,5.000000000000000000e+01,4.316700000000000159e+01,7.000000000000000000e+01
9.100000000000000000e+01,5.000000000000000000e+01,4.326400000000000290e+01,7.000000000000000000e+01
9.200000000000000000e+01,5.000000000000000000e+01,4.335999999999999943e+01,7.000000000000000000e+01
9.300000000000000000e+01,5.000000000000000000e+01,4.345700000000000074e+01,7.000000000000000000e+01
9.400000000000000000e+01,5.000000000000000000e+01,4.345700000000000074e+01,7.000000000000000000e+01
9.500000000000000000e+01,5.000000000000000000e+01,4.345700000000000074e+01,7.000000000000000000e+01
9.600000000000000000e+01,5.000000000000000000e+01,4.348899999999999721e+01,7.000000000000000000e+01
9.700000000000000000e+01,5.000000000000000000e+01,4.345700000000000074e+01,7.000000000000000000e+01
9.800000000000000000e+01,5.000000000000000000e+01,4.358599999999999852e+01,7.000000000000000000e+01
9.900000000000000000e+01,5.000000000000000000e+01,4.377900000000000347e+01,7.000000000000000000e+01
1.000000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,7.000000000000000000e+01
1.010000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,7.000000000000000000e+01
1.020000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,7.000000000000000000e+01
1.030000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,7.000000000000000000e+01
1.040000000000000000e+02,5.000000000000000000e+01,4.377900000000000347e+01,7.000000000000000000e+01
1.050000000000000000e+02,5.000000000000000000e+01,4.384400000000000119e+01,7.000000000000000000e+01
1.060000000000000000e+02,5.000000000000000000e+01,4.406900000000000261e+01,7.000000000000000000e+01
1.070000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,7.000000000000000000e+01
1.080000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,7.000000000000000000e+01
1.090000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,7.000000000000000000e+01
1.100000000000000000e+02,5.000000000000000000e+01,4.410199999999999676e+01,7.000000000000000000e+01
1.110000000000000000e+02,5.000000000000000000e+01,4.422999999999999687e+01,7.000000000000000000e+01
1.120000000000000000e+02,5.000000000000000000e+01,4.432699999999999818e+01,7.000000000000000000e+01
1.130000000000000000e+02,5.000000000000000000e+01,4.442399999999999949e+01,7.000000000000000000e+01
1.140000000000000000e+02,5.000000000000000000e+01,4.442399999999999949e+01,7.000000000000000000e+01
1.150000000000000000e+02,5.000000000000000000e+01,4.442399999999999949e+01,7.000000000000000000e+01
1.160000000000000000e+02,5.000000000000000000e+01,4.448799999999999955e+01,7.000000000000000000e+01
1.170000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,7.000000000000000000e+01
1.180000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,7.000000000000000000e+01
1.190000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,7.000000000000000000e+01
1.200000000000000000e+02,5.000000000000000000e+01,4.474600000000000222e+01,7.000000000000000000e+01
1.210000000000000000e+02,5.000000000000000000e+01,4.487500000000000000e+01,7.000000000000000000e+01
1.220000000000000000e+02,5.000000000000000000e+01,4.497200000000000131e+01,7.000000000000000000e+01
1.230000000000000000e+02,5.000000000000000000e+01,4.506799999999999784e+01,7.000000000000000000e+01
1.240000000000000000e+02,5.000000000000000000e+01,4.506799999999999784e+01,7.000000000000000000e+01
1.250000000000000000e+02,5.000000000000000000e+01,4.506799999999999784e+01,7.000000000000000000e+01
1.260000000000000000e+02,5.000000000000000000e+01,4.510099999999999909e+01,7.000000000000000000e+01
1.270000000000000000e+02,5.000000000000000000e+01,4.532600000000000051e+01,7.000000000000000000e+01
1.280000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,7.000000000000000000e+01
1.290000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,7.000000000000000000e+01
1.300000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,7.000000000000000000e+01
1.310000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,7.000000000000000000e+01
1.320000000000000000e+02,5.000000000000000000e+01,4.539099999999999824e+01,7.000000000000000000e+01
1.330000000000000000e+02,5.000000000000000000e+01,4.542300000000000182e+01,7.000000000000000000e+01
1.340000000000000000e+02,5.000000000000000000e+01,4.545499999999999829e+01,7.000000000000000000e+01
1.350000000000000000e+02,5.000000000000000000e+01,4.548700000000000188e+01,7.000000000000000000e+01
1.360000000000000000e+02,5.000000000000000000e+01,4.564800000000000324e+01,7.000000000000000000e+01
1.370000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,7.000000000000000000e+01
1.380000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,7.000000000000000000e+01
1.390000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,7.000000000000000000e+01
1.400000000000000000e+02,5.000000000000000000e+01,4.571300000000000097e+01,7.000000000000000000e+01
1.410000000000000000e+02,5.000000000000000000e+01,4.581000000000000227e+01,7.000000000000000000e+01
1.420000000000000000e+02,5.000000000000000000e+01,4.593800000000000239e+01,7.000000000000000000e+01
1.430000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,7.000000000000000000e+01
1.440000000000000000e+02,5.000000000000000000e+01,4.603499999999999659e+01,7.000000000000000000e+01
1.450000000000000000e+02,5.000000000000000000e+01,4.610000000000000142e+01,7.000000000000000000e+01
1.460000000000000000e+02,5.000000000000000000e+01,4.613199999999999790e+01,7.000000000000000000e+01
1.470000000000000000e+02,5.000000000000000000e+01,4.613199999999999790e+01,7.000000000000000000e+01
1.480000000000000000e+02,5.000000000000000000e+01,4.622899999999999920e+01,7.000000000000000000e+01
1.490000000000000000e+02,5.000000000000000000e+01,4.622899999999999920e+01,7.000000000000000000e+01
1.500000000000000000e+02,5.000000000000000000e+01,4.616400000000000148e+01,7.000000000000000000e+01
1.510000000000000000e+02,5.000000000000000000e+01,4.619599999999999795e+01,7.000000000000000000e+01
1.520000000000000000e+02,5.000000000000000000e+01,4.629299999999999926e+01,7.000000000000000000e+01
1.530000000000000000e+02,5.000000000000000000e+01,4.632500000000000284e+01,7.000000000000000000e+01
1.540000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,7.000000000000000000e+01
1.550000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,7.000000000000000000e+01
1.560000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,7.000000000000000000e+01
1.570000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,7.000000000000000000e+01
1.580000000000000000e+02,5.000000000000000000e+01,4.635699999999999932e+01,7.000000000000000000e+01
