t,MV,PV,DV
3.800000000000000000e+01,7.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
3.900000000000000000e+01,7.000000000000000000e+01,4.506799999999999784e+01,5.000000000000000000e+01
4.000000000000000000e+01,7.000000000000000000e+01,4.532600000000000051e+01,5.000000000000000000e+01
4.100000000000000000e+01,7.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
4.200000000000000000e+01,7.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
4.300000000000000000e+01,7.000000000000000000e+01,4.539099999999999824e+01,5.000000000000000000e+01
4.400000000000000000e+01,7.000000000000000000e+01,4.542300000000000182e+01,5.000000000000000000e+01
4.500000000000000000e+01,7.000000000000000000e+01,4.545499999999999829e+01,5.000000000000000000e+01
4.600000000000000000e+01,7.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
4.700000000000000000e+01,7.000000000000000000e+01,4.571300000000000097e+01,5.000000000000000000e+01
4.800000000000000000e+01,7.000000000000000000e+01,4.581000000000000227e+01,5.000000000000000000e+01
4.900000000000000000e+01,7.000000000000000000e+01,4.600300000000000011e+01,5.000000000000000000e+01
5.000000000000000000e+01,7.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
5.100000000000000000e+01,7.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
5.200000000000000000e+01,7.000000000000000000e+01,4.603499999999999659e+01,5.000000000000000000e+01
5.300000000000000000e+01,7.000000000000000000e+01,4.619599999999999795e+01,5.000000000000000000e+01
5.400000000000000000e+01,7.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
5.500000000000000000e+01,7.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
5.600000000000000000e+01,7.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
5.700000000000000000e+01,7.000000000000000000e+01,4.635699999999999932e+01,5.000000000000000000e+01
5.800000000000000000e+01,7.000000000000000000e+01,4.655100000000000193e+01,5.000000000000000000e+01
5.900000000000000000e+01,7.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
6.000000000000000000e+01,7.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
6.100000000000000000e+01,7.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
6.200000000000000000e+01,7.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
6.300000000000000000e+01,7.000000000000000000e+01,4.667999999999999972e+01,5.000000000000000000e+01
6.400000000000000000e+01,7.000000000000000000e+01,4.671200000000000330e+01,5.000000000000000000e+01
6.500000000000000000e+01,7.000000000000000000e+01,4.671200000000000330e+01,5.000000000000000000e+01
6.600000000000000000e+01,7.000000000000000000e+01,4.674399999999999977e+01,5.000000000000000000e+01
6.700000000000000000e+01,7.000000000000000000e+01,4.696999999999999886e+01,5.000000000000000000e+01
6.800000000000000000e+01,7.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
6.900000000000000000e+01,7.000000000000000000e+01,4.700200000000000244e+01,5.000000000000000000e+01
7.000000000000000000e+01,7.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
7.100000000000000000e+01,7.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
7.200000000000000000e+01,7.000000000000000000e+01,4.732399999999999807e+01,5.000000000000000000e+01
7.300000000000000000e+01,7.000000000000000000e+01,4.742099999999999937e+01,5.000000000000000000e+01
7.400000000000000000e+01,7.000000000000000000e+01,4.758200000000000074e+01,5.000000000000000000e+01
7.500000000000000000e+01,7.000000000000000000e+01,4.758200000000000074e+01,5.000000000000000000e+01
7.600000000000000000e+01,7.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
7.700000000000000000e+01,7.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
7.800000000000000000e+01,7.000000000000000000e+01,4.764600000000000080e+01,5.000000000000000000e+01
7.900000000000000000e+01,7.000000000000000000e+01,4.774300000000000210e+01,5.000000000000000000e+01
8.000000000000000000e+01,7.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
8.100000000000000000e+01,7.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
8.200000000000000000e+01,7.000000000000000000e+01,4.796900000000000119e+01,5.000000000000000000e+01
8.300000000000000000e+01,7.000000000000000000e+01,4.806499999999999773e+01,5.000000000000000000e+01
8.400000000000000000e+01,7.000000000000000000e+01,4.800099999999999767e+01,5.000000000000000000e+01
8.500000000000000000e+01,7.000000000000000000e+01,4.819400000000000261e+01,5.000000000000000000e+01
8.600000000000000000e+01,7.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
8.700000000000000000e+01,7.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
8.800000000000000000e+01,7.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
8.900000000000000000e+01,7.000000000000000000e+01,4.829099999999999682e+01,5.000000000000000000e+01
9.000000000000000000e+01,7.000000000000000000e+01,4.835499999999999687e+01,5.000000000000000000e+01
9.100000000000000000e+01,7.000000000000000000e+01,4.861299999999999955e+01,5.000000000000000000e+01
9.200000000000000000e+01,7.000000000000000000e+01,4.861299999999999955e+01,5.000000000000000000e+01
9.300000000000000000e+01,7.000000000000000000e+01,4.861299999999999955e+01,5.000000000000000000e+01
9.400000000000000000e+01,7.000000000000000000e+01,4.867799999999999727e+01,5.000000000000000000e+01
9.500000000000000000e+01,7.000000000000000000e+01,4.887100000000000222e+01,5.000000000000000000e+01
9.600000000000000000e+01,7.000000000000000000e+01,4.893599999999999994e+01,5.000000000000000000e+01
9.700000000000000000e+01,7.000000000000000000e+01,4.893599999999999994e+01,5.000000000000000000e+01
9.800000000000000000e+01,7.000000000000000000e+01,4.893599999999999994e+01,5.000000000000000000e+01
9.900000000000000000e+01,7.000000000000000000e+01,4.916100000000000136e+01,5.000000000000000000e+01
1.000000000000000000e+02,7.000000000000000000e+01,4.916100000000000136e+01,5.000000000000000000e+01
1.010000000000000000e+02,7.000000000000000000e+01,4.922599999999999909e+01,5.000000000000000000e+01
1.020000000000000000e+02,7.000000000000000000e+01,4.925800000000000267e+01,5.000000000000000000e+01
1.030000000000000000e+02,7.000000000000000000e+01,4.925800000000000267e+01,5.000000000000000000e+01
1.040000000000000000e+02,7.000000000000000000e+01,4.925800000000000267e+01,5.000000000000000000e+01
1.050000000000000000e+02,7.000000000000000000e+01,4.941899999999999693e+01,5.000000000000000000e+01
1.060000000000000000e+02,7.000000000000000000e+01,4.957999999999999829e+01,5.000000000000000000e+01
1.070000000000000000e+02,7.000000000000000000e+01,4.957999999999999829e+01,5.000000000000000000e+01
1.080000000000000000e+02,7.000000000000000000e+01,4.957999999999999829e+01,5.000000000000000000e+01
1.090000000000000000e+02,7.000000000000000000e+01,4.977300000000000324e+01,5.000000000000000000e+01
1.100000000000000000e+02,7.000000000000000000e+01,4.990200000000000102e+01,5.000000000000000000e+01
1.110000000000000000e+02,7.000000000000000000e+01,4.990200000000000102e+01,5.000000000000000000e+01
1.120000000000000000e+02,7.000000000000000000e+01,4.993500000000000227e+01,5.000000000000000000e+01
1.130000000000000000e+02,7.000000000000000000e+01,5.006300000000000239e+01,5.000000000000000000e+01
1.140000000000000000e+02,7.000000000000000000e+01,5.019200000000000017e+01,5.000000000000000000e+01
1.150000000000000000e+02,7.000000000000000000e+01,5.022500000000000142e+01,5.000000000000000000e+01
1.160000000000000000e+02,7.000000000000000000e+01,5.022500000000000142e+01,5.000000000000000000e+01
1.170000000000000000e+02,7.000000000000000000e+01,5.022500000000000142e+01,5.000000000000000000e+01
1.180000000000000000e+02,7.000000000000000000e+01,5.032099999999999795e+01,5.000000000000000000e+01
1.190000000000000000e+02,7.000000000000000000e+01,5.048199999999999932e+01,5.000000000000000000e+01
1.200000000000000000e+02,7.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
1.210000000000000000e+02,7.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
1.220000000000000000e+02,7.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
1.230000000000000000e+02,7.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
1.240000000000000000e+02,7.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
1.250000000000000000e+02,7.000000000000000000e+01,5.054699999999999704e+01,5.000000000000000000e+01
1.260000000000000000e+02,7.000000000000000000e+01,5.057900000000000063e+01,5.000000000000000000e+01
1.270000000000000000e+02,7.000000000000000000e+01,5.061099999999999710e+01,5.000000000000000000e+01
1.280000000000000000e+02,7.000000000000000000e+01,5.067600000000000193e+01,5.000000000000000000e+01
1.290000000000000000e+02,7.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
1.300000000000000000e+02,7.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
1.310000000000000000e+02,7.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
1.320000000000000000e+02,7.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
1.330000000000000000e+02,7.000000000000000000e+01,5.070799999999999841e+01,5.000000000000000000e+01
1.340000000000000000e+02,7.000000000000000000e+01,5.077199999999999847e+01,5.000000000000000000e+01
1.350000000000000000e+02,7.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
1.360000000000000000e+02,7.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
1.370000000000000000e+02,7.000000000000000000e+01,5.086899999999999977e+01,5.000000000000000000e+01
1.380000000000000000e+02,7.000000000000000000e+01,5.090100000000000335e+01,5.000000000000000000e+01
1.390000000000000000e+02,7.000000000000000000e+01,5.096600000000000108e+01,5.000000000000000000e+01
1.400000000000000000e+02,7.000000000000000000e+01,5.112700000000000244e+01,5.000000000000000000e+01
1.410000000000000000e+02,7.000000000000000000e+01,5.115899999999999892e+01,5.000000000000000000e+01
1.420000000000000000e+02,7.000000000000000000e+01,5.119100000000000250e+01,5.000000000000000000e+01
1.430000000000000000e+02,7.000000000000000000e+01,5.119100000000000250e+01,5.000000000000000000e+01
1.440000000000000000e+02,7.000000000000000000e+01,5.119100000000000250e+01,5.000000000000000000e+01
1.450000000000000000e+02,7.000000000000000000e+01,5.135300000000000153e+01,5.000000000000000000e+01
1.460000000000000000e+02,7.000000000000000000e+01,5.138499999999999801e+01,5.000000000000000000e+01
1.470000000000000000e+02,7.000000000000000000e+01,5.144899999999999807e+01,5.000000000000000000e+01
1.480000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.490000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.500000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.510000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.520000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.530000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.540000000000000000e+02,7.000000000000000000e+01,5.148100000000000165e+01,5.000000000000000000e+01
1.550000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.560000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.570000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.580000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.590000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.600000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.610000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.620000000000000000e+02,7.000000000000000000e+01,5.157800000000000296e+01,5.000000000000000000e+01
1.630000000000000000e+02,7.000000000000000000e+01,5.167499999999999716e+01,5.000000000000000000e+01
1.640000000000000000e+02,7.000000000000000000e+01,5.167499999999999716e+01,5.000000000000000000e+01
1.650000000000000000e+02,7.000000000000000000e+01,5.167499999999999716e+01,5.000000000000000000e+01
1.660000000000000000e+02,7.000000000000000000e+01,5.173899999999999721e+01,5.000000000000000000e+01
1.670000000000000000e+02,7.000000000000000000e+01,5.183599999999999852e+01,5.000000000000000000e+01
1.680000000000000000e+02,7.000000000000000000e+01,5.183599999999999852e+01,5.000000000000000000e+01
1.690000000000000000e+02,7.000000000000000000e+01,5.183599999999999852e+01,5.000000000000000000e+01
1.700000000000000000e+02,7.000000000000000000e+01,5.164300000000000068e+01,5.000000000000000000e+01
1.710000000000000000e+02,7.000000000000000000e+01,5.122399999999999665e+01,5.000000000000000000e+01
1.720000000000000000e+02,7.000000000000000000e+01,5.132000000000000028e+01,5.000000000000000000e+01
1.730000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.740000000000000000e+02,7.000000000000000000e+01,5.151400000000000290e+01,5.000000000000000000e+01
1.750000000000000000e+02,7.000000000000000000e+01,5.154599999999999937e+01,5.000000000000000000e+01
1.760000000000000000e+02,7.000000000000000000e+01,5.173899999999999721e+01,5.000000000000000000e+01
1.770000000000000000e+02,7.000000000000000000e+01,5.183599999999999852e+01,5.000000000000000000e+01
1.780000000000000000e+02,7.000000000000000000e+01,5.183599999999999852e+01,5.000000000000000000e+01
1.790000000000000000e+02,7.000000000000000000e+01,5.183599999999999852e+01,5.000000000000000000e+01
1.800000000000000000e+02,7.000000000000000000e+01,5.206199999999999761e+01,5.000000000000000000e+01
1.810000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.820000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.830000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.840000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.850000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.860000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.870000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.880000000000000000e+02,7.000000000000000000e+01,5.215800000000000125e+01,5.000000000000000000e+01
1.890000000000000000e+02,7.000000000000000000e+01,5.222299999999999898e+01,5.000000000000000000e+01
1.900000000000000000e+02,7.000000000000000000e+01,5.228699999999999903e+01,5.000000000000000000e+01
1.910000000000000000e+02,7.000000000000000000e+01,5.225500000000000256e+01,5.000000000000000000e+01
1.920000000000000000e+02,7.000000000000000000e+01,5.222299999999999898e+01,5.000000000000000000e+01
1.930000000000000000e+02,7.000000000000000000e+01,5.228699999999999903e+01,5.000000000000000000e+01
1.940000000000000000e+02,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
1.950000000000000000e+02,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
1.960000000000000000e+02,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
1.970000000000000000e+02,7.000000000000000000e+01,5.247999999999999687e+01,5.000000000000000000e+01
1.980000000000000000e+02,7.000000000000000000e+01,5.254500000000000171e+01,5.000000000000000000e+01
1.990000000000000000e+02,7.000000000000000000e+01,5.273799999999999955e+01,5.000000000000000000e+01
2.000000000000000000e+02,7.000000000000000000e+01,5.280299999999999727e+01,5.000000000000000000e+01
2.010000000000000000e+02,7.000000000000000000e+01,5.280299999999999727e+01,5.000000000000000000e+01
2.020000000000000000e+02,7.000000000000000000e+01,5.280299999999999727e+01,5.000000000000000000e+01
2.030000000000000000e+02,7.000000000000000000e+01,5.280299999999999727e+01,5.000000000000000000e+01
2.040000000000000000e+02,7.000000000000000000e+01,5.283500000000000085e+01,5.000000000000000000e+01
2.050000000000000000e+02,7.000000000000000000e+01,5.296399999999999864e+01,5.000000000000000000e+01
2.060000000000000000e+02,7.000000000000000000e+01,5.306099999999999994e+01,5.000000000000000000e+01
2.070000000000000000e+02,7.000000000000000000e+01,5.302799999999999869e+01,5.000000000000000000e+01
2.080000000000000000e+02,7.000000000000000000e+01,5.306099999999999994e+01,5.000000000000000000e+01
2.090000000000000000e+02,7.000000000000000000e+01,5.302799999999999869e+01,5.000000000000000000e+01
2.100000000000000000e+02,7.000000000000000000e+01,5.309300000000000352e+01,5.000000000000000000e+01
2.110000000000000000e+02,7.000000000000000000e+01,5.306099999999999994e+01,5.000000000000000000e+01
2.120000000000000000e+02,7.000000000000000000e+01,5.309300000000000352e+01,5.000000000000000000e+01
2.130000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.140000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.150000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.160000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.170000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.180000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
2.190000000000000000e+02,7.000000000000000000e+01,5.312500000000000000e+01,5.000000000000000000e+01
