tm,MVm,PVm
2.510000000000000000e+02,1.000000000000000000e+00,2.642499999999999849e-01
2.520000000000000000e+02,1.000000000000000000e+00,2.642499999999999849e-01
2.530000000000000000e+02,1.000000000000000000e+00,2.650500000000001188e-01
2.540000000000000000e+02,1.000000000000000000e+00,2.650500000000001188e-01
2.550000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.560000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.570000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.580000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.590000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.600000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.610000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.620000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.630000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.640000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.650000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.660000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.670000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.680000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.690000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.700000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.710000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.720000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.730000000000000000e+02,1.000000000000000000e+00,2.650500000000001188e-01
2.740000000000000000e+02,1.000000000000000000e+00,2.610250000000000625e-01
2.750000000000000000e+02,1.000000000000000000e+00,2.578000000000001402e-01
2.760000000000000000e+02,1.000000000000000000e+00,2.578000000000001402e-01
2.770000000000000000e+02,1.000000000000000000e+00,2.586000000000000520e-01
2.780000000000000000e+02,1.000000000000000000e+00,2.578000000000001402e-01
2.790000000000000000e+02,1.000000000000000000e+00,2.578000000000001402e-01
2.800000000000000000e+02,1.000000000000000000e+00,2.578000000000001402e-01
2.810000000000000000e+02,1.000000000000000000e+00,2.586000000000000520e-01
2.820000000000000000e+02,1.000000000000000000e+00,2.578000000000001402e-01
2.830000000000000000e+02,1.000000000000000000e+00,2.586000000000000520e-01
2.840000000000000000e+02,1.000000000000000000e+00,2.610250000000000625e-01
2.850000000000000000e+02,1.000000000000000000e+00,2.634500000000000730e-01
2.860000000000000000e+02,1.000000000000000000e+00,2.650500000000001188e-01
2.870000000000000000e+02,1.000000000000000000e+00,2.650500000000001188e-01
2.880000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.890000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.900000000000000000e+02,1.000000000000000000e+00,2.658500000000000307e-01
2.910000000000000000e+02,1.000000000000000000e+00,2.666750000000000509e-01
